MPXV-UK_P2-001	J1L	001-chemokine-binding-protein	Chemokine binding protein (Cop-C23L); J1L; similar to Vaccinia virus strain Copenhagen C23L; most abundant secreted protein; CC-chemokine binding 
	NP_536495-I7L-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_570464-CMLV074-[Camelpox-virus]	99.29(%id)	100.0(%cover)
	YP_717386-viral-core-cysteine-proteinase-[Taterapox-virus]	98.82(%id)	100.0(%cover)
	NP_042105-hypothetical-protein-VARVgp061-[Variola-virus]	98.82(%id)	100.0(%cover)
	YP_232958-viral-core-cysteine-proteinase-[Vaccinia-virus]	98.58(%id)	100.0(%cover)
	NP_619873-CPXV086-protein-[Cowpox-virus]	97.87(%id)	100.0(%cover)
	YP_010085745-putative-I7L-protein-[Orthopoxvirus-Abatino]	98.35(%id)	100.0(%cover)
	NP_671578-EVM060-[Ectromelia-virus]	97.64(%id)	100.0(%cover)
	YP_010085531-viral-core-cysteine-proteinase-[Akhmeta-virus]	96.69(%id)	100.0(%cover)
	YP_009282769-virion-core-cysteine-protease-[Skunkpox-virus]	93.60(%id)	99.8(%cover)
	YP_009281823-virion-core-cysteine-protease-[Volepox-virus]	93.36(%id)	99.8(%cover)
	YP_009143384-Viral-core-cysteine-proteinase-[Raccoonpox-virus]	92.89(%id)	99.8(%cover)
MPXV-UK_P2-067	I8R	067-RNA-helicase-NPH-II	RNA helicase, DExH-NPH-II domain (Cop-I8R); I8R; similar to Vaccinia virus strain Copenhagen I8R; nucleoside triphosphate phosphohydrolase II, NPH-II; DNA and RNA helicase 
	NP_536496-RNA-helicase-NPH-II-[Monkeypox-virus-Zaire-96-I-16]	99.70(%id)	100.0(%cover)
	YP_232959-RNA-helicase-DExH-NPH-II-[Vaccinia-virus]	97.49(%id)	100.0(%cover)
	YP_717387-RNA-helicase-NPH-II-[Taterapox-virus]	97.34(%id)	100.0(%cover)
	NP_619874-CPXV087-protein-[Cowpox-virus]	96.45(%id)	100.0(%cover)
	NP_570465-RNA-helicase-NPH-II-[Camelpox-virus]	96.75(%id)	100.0(%cover)
	NP_042106-RNA-helicase-NPH-II-[Variola-virus]	96.45(%id)	100.0(%cover)
	YP_010085746-putative-I8R-protein-[Orthopoxvirus-Abatino]	95.27(%id)	100.0(%cover)
	NP_671579-RNA-helicase-NPH-II-[Ectromelia-virus]	95.27(%id)	100.0(%cover)
	YP_010085532-RNA-helicase-[Akhmeta-virus]	93.50(%id)	100.0(%cover)
MPXV-UK_P2-068	G1L	068-putative-metalloprotease	Metalloprotease (Cop-G1L); G1L; similar to Vaccinia virus strain Copenhagen G1L; proteinase 
	NP_536497-putative-metalloprotease-[Monkeypox-virus-Zaire-96-I-16]	99.49(%id)	99.8(%cover)
	NP_671580-putative-metalloprotease-[Ectromelia-virus]	98.81(%id)	99.8(%cover)
	NP_619875-CPXV088-protein-[Cowpox-virus]	98.47(%id)	99.8(%cover)
	YP_232960-insulin-metalloproteinase-like-protein-[Vaccinia-virus]	98.31(%id)	99.8(%cover)
	YP_717388-putative-metalloprotease-[Taterapox-virus]	97.97(%id)	99.8(%cover)
	YP_010085747-putative-G1L-protein-[Orthopoxvirus-Abatino]	97.80(%id)	99.8(%cover)
	NP_042107-putative-metalloprotease-[Variola-virus]	97.63(%id)	99.8(%cover)
	NP_570466-putative-metalloprotease-[Camelpox-virus]	97.80(%id)	99.8(%cover)
	YP_010085533-hypothetical-protein-KM542_gp085-[Akhmeta-virus]	97.22(%id)	97.3(%cover)
	YP_009282771-metalloprotease-[Skunkpox-virus]	91.19(%id)	99.8(%cover)
	YP_009281825-metalloprotease-[Volepox-virus]	90.34(%id)	99.8(%cover)
MPXV-UK_P2-069	G2L	069-entry_fusion-complex-component	Entry/fusion complex component (Cop-G3L); G2L; similar to Vaccinia virus strain Copenhagen G3L 
	NP_536498-Hypothetical-protein-MPXVgp071-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_232961-hypothetical-protein-VACWR079-[Vaccinia-virus]	98.20(%id)	100.0(%cover)
	NP_570467-Hypothetical-protein-CamMLVgp077-[Camelpox-virus]	98.20(%id)	100.0(%cover)
	YP_717389-Hypothetical-protein-TATV_DAH68_082-[Taterapox-virus]	97.30(%id)	100.0(%cover)
	NP_671581-Hypothetical-protein-ECTVgp063-[Ectromelia-virus]	97.30(%id)	100.0(%cover)
	NP_619876-CPXV089-protein-[Cowpox-virus]	97.30(%id)	100.0(%cover)
	YP_010085534-virus-fusion-complex-[Akhmeta-virus]	96.40(%id)	100.0(%cover)
	NP_042108-hypothetical-protein-VARVgp064-[Variola-virus]	95.50(%id)	100.0(%cover)
	YP_009282772-entry/fusion-complex-component-[Skunkpox-virus]	91.89(%id)	100.0(%cover)
	YP_009143387-Entry/fusion-complex-component-[Raccoonpox-virus]	91.89(%id)	100.0(%cover)
	YP_009281826-entry/fusion-complex-component-[Volepox-virus]	90.09(%id)	100.0(%cover)
MPXV-UK_P2-070	G3R	070-transcriptional-elongation-factor	VLTF (late transcription elongation factor) (Cop-G2R); G3R; similar to Vaccinia virus strain Copenhagen G2R 
	NP_619877-CPXV090-protein-[Cowpox-virus]	100.00(%id)	100.0(%cover)
	NP_536499-transcriptional-elongation-factor-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_232962-late-transcription-elongation-factor-[Vaccinia-virus]	98.64(%id)	100.0(%cover)
	YP_010085748-putative-G2R-protein-[Orthopoxvirus-Abatino]	98.18(%id)	100.0(%cover)
	NP_570468-transcriptional-elongation-factor-[Camelpox-virus]	98.18(%id)	100.0(%cover)
	YP_717390-transcriptional-elongation-factor-[Taterapox-virus]	97.73(%id)	100.0(%cover)
	NP_671582-transcriptional-elongation-factor-[Ectromelia-virus]	97.73(%id)	100.0(%cover)
	NP_042109-transcriptional-elongation-factor-[Variola-virus]	96.82(%id)	100.0(%cover)
	YP_010085535-late-transcriptional-factor-[Akhmeta-virus]	95.45(%id)	100.0(%cover)
	YP_009282773-vltf-[Skunkpox-virus]	90.91(%id)	100.0(%cover)
	YP_009281827-vltf-[Volepox-virus]	90.91(%id)	100.0(%cover)
	YP_009143388-VLTF-[Raccoonpox-virus]	90.91(%id)	100.0(%cover)
MPXV-UK_P2-071	G4L	071-glutaredoxin-like-protein	Glutaredoxin-like protein (Cop-G4L); G4L; similar to Vaccinia virus strain Copenhagen G4L; virion-associated glutaredoxin 
	NP_536500-glutaredoxin-like-protein-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_010085536-glutaredoxin-2-[Akhmeta-virus]	100.00(%id)	100.0(%cover)
	YP_010085749-putative-G4L-protein-[Orthopoxvirus-Abatino]	100.00(%id)	100.0(%cover)
	NP_671583-glutaredoxin-like-protein-[Ectromelia-virus]	100.00(%id)	100.0(%cover)
	YP_232963-thioredoxin-like-protein-[Vaccinia-virus]	99.19(%id)	100.0(%cover)
	NP_042110-glutaredoxin-like-protein-[Variola-virus]	99.19(%id)	100.0(%cover)
	NP_570469-glutaredoxin-like-protein-[Camelpox-virus]	99.19(%id)	100.0(%cover)
	YP_717391-glutaredoxin-like-protein-[Taterapox-virus]	99.19(%id)	100.0(%cover)
	NP_619878-CPXV091-protein-[Cowpox-virus]	99.19(%id)	100.0(%cover)
	YP_009281828-disulfide-oxidoreductase-[Volepox-virus]	96.77(%id)	100.0(%cover)
	YP_009143389-Disulfide-oxidoreductase-[Raccoonpox-virus]	95.16(%id)	100.0(%cover)
	YP_009282774-disulfide-oxidoreductase-[Skunkpox-virus]	95.97(%id)	100.0(%cover)
MPXV-UK_P2-072	G5R	072-Hypothetical-protein-MPXVgp074	FEN1-like nuclease (Cop-G5R); G5R; similar to Vaccinia virus strain Copenhagen G5R 
	NP_536501-Hypothetical-protein-MPXVgp074-[Monkeypox-virus-Zaire-96-I-16]	99.54(%id)	100.0(%cover)
	YP_232964-hypothetical-protein-VACWR082-[Vaccinia-virus]	99.08(%id)	100.0(%cover)
	YP_010085750-putative-G5R-protein-[Orthopoxvirus-Abatino]	98.62(%id)	100.0(%cover)
	YP_717392-Hypothetical-protein-TATV_DAH68_085-[Taterapox-virus]	97.93(%id)	100.0(%cover)
	NP_619879-CPXV092-protein-[Cowpox-virus]	97.93(%id)	100.0(%cover)
	NP_570470-Hypothetical-protein-CamMLVgp080-[Camelpox-virus]	97.47(%id)	100.0(%cover)
	NP_671584-Hypothetical-protein-ECTVgp066-[Ectromelia-virus]	97.70(%id)	100.0(%cover)
	NP_042111-hypothetical-protein-VARVgp067-[Variola-virus]	96.77(%id)	100.0(%cover)
	YP_010085537-hypothetical-protein-KM542_gp089-[Akhmeta-virus]	92.63(%id)	100.0(%cover)
MPXV-UK_P2-073	G6R	073-RNA-polymerase	RNA polymerase subunit (RPO7) (Cop-G5.5R); G6R; RNA polymerase, 7 kDa subunit 
	YP_232965-DNA-dependent-RNA-polymerase-subunit-rpo7-[Vaccinia-virus]	100.00(%id)	100.0(%cover)
	NP_570471-RNA-polymerase-[Camelpox-virus]	100.00(%id)	100.0(%cover)
	NP_619880-CPXV093-protein-[Cowpox-virus]	100.00(%id)	100.0(%cover)
	YP_717393-RNA-polymerase-[Taterapox-virus]	100.00(%id)	100.0(%cover)
	NP_536502-RNA-polymerase-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_010085538-RNA-polymerase-subunit-[Akhmeta-virus]	100.00(%id)	100.0(%cover)
	YP_010085751-putative-EVM067-protein-[Orthopoxvirus-Abatino]	100.00(%id)	100.0(%cover)
	NP_671585-RNA-polymerase-[Ectromelia-virus]	100.00(%id)	100.0(%cover)
MPXV-UK_P2-074	G7R	074-G7R	NLPc/P60 superfamily protein (Cop-G6R); G7R; similar to Vaccinia virus strain Copenhagen G6R 
	NP_536503-G7R-[Monkeypox-virus-Zaire-96-I-16]	98.18(%id)	100.0(%cover)
	YP_232966-hypothetical-protein-VACWR084-[Vaccinia-virus]	97.58(%id)	100.0(%cover)
	NP_570472-CMLV082-[Camelpox-virus]	96.97(%id)	100.0(%cover)
	YP_010085752-putative-G6R-protein-[Orthopoxvirus-Abatino]	96.36(%id)	100.0(%cover)
	NP_671586-EVM068-[Ectromelia-virus]	96.36(%id)	100.0(%cover)
	YP_717394-hypothetical-protein-TATV_DAH68_087-[Taterapox-virus]	96.97(%id)	100.0(%cover)
	NP_042113-hypothetical-protein-VARVgp069-[Variola-virus]	96.36(%id)	100.0(%cover)
	NP_619881-CPXV094-protein-[Cowpox-virus]	95.15(%id)	100.0(%cover)
	YP_010085539-hypothetical-protein-KM542_gp091-[Akhmeta-virus]	93.67(%id)	95.8(%cover)
MPXV-UK_P2-075	G8L	075-putative-virion-core-protein	Virion phosphoprotein, early morphogenesis (Cop-G7L); G8L; similar to Vaccinia virus strain Copenhagen G7L; virion protein 
	NP_536504-putative-virion-core-protein-[Monkeypox-virus-Zaire-96-I-16]	99.46(%id)	100.0(%cover)
	YP_232967-virion-structural-protein-[Vaccinia-virus]	98.92(%id)	100.0(%cover)
	NP_042114-putative-virion-core-protein-[Variola-virus]	98.92(%id)	100.0(%cover)
	NP_619882-CPXV095-protein-[Cowpox-virus]	98.65(%id)	100.0(%cover)
	YP_010085753-putative-G7L-protein-[Orthopoxvirus-Abatino]	98.65(%id)	100.0(%cover)
	NP_570473-putative-virion-core-protein-[Camelpox-virus]	98.65(%id)	100.0(%cover)
	YP_717395-putative-virion-core-protein-[Taterapox-virus]	98.38(%id)	100.0(%cover)
	NP_671587-putative-virion-core-protein-[Ectromelia-virus]	98.11(%id)	100.0(%cover)
	YP_010085540-hypothetical-protein-KM542_gp092-[Akhmeta-virus]	97.57(%id)	100.0(%cover)
MPXV-UK_P2-076	G9R	076-late-transcription-factor-VLTF-1	VLTF-1 (late transcription factor 1) (Cop-G8R); G9R; similar to Vaccinia virus strain Copenhagen G8R; late gene transcription factor, VLTF-1 
	YP_232968-late-gene-transcription-VLTF-1-[Vaccinia-virus]	100.00(%id)	100.0(%cover)
	YP_717396-late-transcription-factor-VLTF-1-[Taterapox-virus]	100.00(%id)	100.0(%cover)
	NP_536505-late-transcription-factor-VLTF-1-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_010085542-late-transcription-factor-VLTF-1-[Akhmeta-virus]	100.00(%id)	100.0(%cover)
	NP_671588-late-transcription-factor-VLTF-1-[Ectromelia-virus]	100.00(%id)	100.0(%cover)
	NP_619883-CPXV097-protein-[Cowpox-virus]	99.62(%id)	100.0(%cover)
	NP_042115-late-transcription-factor-VLTF-1-[Variola-virus]	99.62(%id)	100.0(%cover)
	YP_010085754-putative-G8R-protein-[Orthopoxvirus-Abatino]	99.62(%id)	100.0(%cover)
	NP_570474-late-transcription-factor-VLTF-1-[Camelpox-virus]	99.23(%id)	100.0(%cover)
	YP_009143394-VLTF-1-[Raccoonpox-virus]	97.31(%id)	100.0(%cover)
	YP_009282779-vltf-1-[Skunkpox-virus]	97.31(%id)	100.0(%cover)
	YP_009281833-vltf-1-[Volepox-virus]	97.31(%id)	100.0(%cover)
MPXV-UK_P2-077	G10R	077-poxvirus-myristoylprotein	Entry/fusion complex component, myristylprotein (Cop-G9R); G10R; similar to Vaccinia virus strain Copenhagen G9R; myristylated protein 
	NP_536506-poxvirus-myristoylprotein-[Monkeypox-virus-Zaire-96-I-16]	99.71(%id)	100.0(%cover)
	YP_232969-myristylprotein-[Vaccinia-virus]	98.24(%id)	100.0(%cover)
	YP_717397-poxvirus-myristoylprotein-[Taterapox-virus]	98.24(%id)	100.0(%cover)
	NP_042116-poxvirus-myristoylprotein-[Variola-virus]	97.65(%id)	100.0(%cover)
	NP_570475-poxvirus-myristoylprotein-[Camelpox-virus]	97.06(%id)	100.0(%cover)
	NP_619884-CPXV098-protein-[Cowpox-virus]	96.47(%id)	100.0(%cover)
	YP_010085543-entry-fusion-complex-protein-[Akhmeta-virus]	94.41(%id)	100.0(%cover)
	YP_010085755-putative-G9R-protein-[Orthopoxvirus-Abatino]	95.59(%id)	100.0(%cover)
	NP_671589-poxvirus-myristoylprotein-[Ectromelia-virus]	96.18(%id)	100.0(%cover)
	YP_009282780-entry-fusion-complex-component-[Skunkpox-virus]	90.59(%id)	100.0(%cover)
MPXV-UK_P2-078	M1R	078-IMV-membrane-protein	IMV membrane protein (Cop-L1R); M1R; similar to Vaccinia virus strain Copenhagen L1R; myristylated IMV surface membrane protein 
	NP_536507-M1R-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_042117-hypothetical-protein-VARVgp073-[Variola-virus]	99.20(%id)	100.0(%cover)
	YP_010085756-putative-L1R-protein-[Orthopoxvirus-Abatino]	98.80(%id)	100.0(%cover)
	YP_717398-IMV-membrane-protein-[Taterapox-virus]	98.80(%id)	100.0(%cover)
	YP_010085544-IMV-membrane-protein-[Akhmeta-virus]	98.80(%id)	100.0(%cover)
	YP_232970-IMV-membrane-protein-[Vaccinia-virus]	98.40(%id)	100.0(%cover)
	NP_619885-CPXV099-protein-[Cowpox-virus]	98.40(%id)	100.0(%cover)
	NP_671590-EVM072-[Ectromelia-virus]	97.60(%id)	100.0(%cover)
	YP_009282781-imv-membrane-protein-[Skunkpox-virus]	96.80(%id)	100.0(%cover)
	NP_570476-CMLV086-[Camelpox-virus]	97.20(%id)	100.0(%cover)
	YP_009281835-imv-membrane-protein-[Volepox-virus]	94.80(%id)	100.0(%cover)
	YP_009143396-IMV-membrane-protein-[Raccoonpox-virus]	94.00(%id)	100.0(%cover)
MPXV-UK_P2-079	M2R	079-hypothetical-protein-MPXVgp081	Viral membrane assembly proteins (VMAP) (Cop-L2R); M2R; similar to Vaccinia virus strain Copenhagen L2R 
	NP_536508-hypothetical-protein-MPXVgp081-[Monkeypox-virus-Zaire-96-I-16]	98.91(%id)	100.0(%cover)
	YP_717399-hypothetical-protein-TATV_DAH68_092-[Taterapox-virus]	96.74(%id)	100.0(%cover)
	NP_570477-hypothetical-protein-CamMLVgp087-[Camelpox-virus]	97.56(%id)	89.1(%cover)
	YP_232971-hypothetical-protein-VACWR089-[Vaccinia-virus]	96.34(%id)	89.1(%cover)
	NP_042118-hypothetical-protein-VARVgp074-[Variola-virus]	95.12(%id)	89.1(%cover)
	NP_671591-hypothetical-protein-ECTVgp073-[Ectromelia-virus]	93.90(%id)	89.1(%cover)
	YP_010085545-cresent-formation-protein-[Akhmeta-virus]	91.46(%id)	89.1(%cover)
MPXV-UK_P2-080	M3L	080-M3L	Internal virion protein (Cop-L3L); M3L; similar to Vaccinia virus strain Copenhagen L3L 
	NP_536509-M3L-[Monkeypox-virus-Zaire-96-I-16]	99.71(%id)	100.0(%cover)
	YP_232972-hypothetical-protein-VACWR090-[Vaccinia-virus]	96.57(%id)	100.0(%cover)
	NP_619886-CPXV101-protein-[Cowpox-virus]	96.57(%id)	100.0(%cover)
	YP_717400-hypothetical-protein-TATV_DAH68_093-[Taterapox-virus]	97.09(%id)	100.0(%cover)
	NP_570478-CMLV088-[Camelpox-virus]	95.70(%id)	100.0(%cover)
	YP_010085758-putative-L3L-protein-[Orthopoxvirus-Abatino]	94.86(%id)	100.0(%cover)
	NP_042119-hypothetical-protein-VARVgp075-[Variola-virus]	95.13(%id)	100.0(%cover)
	YP_010085546-internal-virion-protein-[Akhmeta-virus]	93.48(%id)	100.0(%cover)
	NP_671592-EVM074-[Ectromelia-virus]	94.54(%id)	100.0(%cover)
MPXV-UK_P2-081	M4R	081-DNA-binding-virion-core-protein	ss/dsDNA binding protein (VP8) (Cop-L4R); M4R; similar to Vaccinia virus strain Copenhagen L4R; virion core protein; ssDNA binding; stimulation of I8R helicase activity 
	NP_536510-DNA-binding-virion-core-protein-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_619887-CPXV102-protein-[Cowpox-virus]	99.20(%id)	100.0(%cover)
	YP_717401-DNA-binding-virion-core-protein-[Taterapox-virus]	98.80(%id)	100.0(%cover)
	YP_010085759-putative-L4R-protein-[Orthopoxvirus-Abatino]	98.80(%id)	100.0(%cover)
	YP_232973-core-protein-vp8-[Vaccinia-virus]	98.80(%id)	100.0(%cover)
	YP_010085547-DNA-binding-virion-core-protein-[Akhmeta-virus]	98.80(%id)	100.0(%cover)
	NP_570479-DNA-binding-virion-core-protein-[Camelpox-virus]	98.01(%id)	100.0(%cover)
	NP_042120-DNA-binding-virion-core-protein-[Variola-virus]	98.41(%id)	100.0(%cover)
	NP_671593-DNA-binding-virion-core-protein-[Ectromelia-virus]	98.41(%id)	100.0(%cover)
	YP_009143399-Core-protein-VP8-[Raccoonpox-virus]	96.02(%id)	100.0(%cover)
	YP_009282784-ss/dsdna-binding-protein-[Skunkpox-virus]	95.22(%id)	100.0(%cover)
	YP_009281838-ss/dsdna-binding-protein-[Volepox-virus]	94.82(%id)	100.0(%cover)
MPXV-UK_P2-082	M5R	082-Entry-and-Fusion-IMV-protein	Entry and Fusion IMV protein (Cop-L5R); M5R; similar to Vaccinia virus strain Copenhagen L5R 
	NP_536511-M5R-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_232974-hypothetical-protein-VACWR092-[Vaccinia-virus]	99.22(%id)	100.0(%cover)
	YP_717402-IMV-membrane-protein-[Taterapox-virus]	99.22(%id)	100.0(%cover)
	NP_671594-EVM076-[Ectromelia-virus]	99.22(%id)	100.0(%cover)
	NP_570480-CMLV090-[Camelpox-virus]	98.44(%id)	100.0(%cover)
	NP_619888-CPXV103-protein-[Cowpox-virus]	98.44(%id)	100.0(%cover)
	NP_042121-hypothetical-protein-VARVgp077-[Variola-virus]	99.22(%id)	100.0(%cover)
	YP_010085760-putative-L5R-protein-[Orthopoxvirus-Abatino]	97.66(%id)	100.0(%cover)
	YP_010085548-IMV-entry-and-fusion-protein-[Akhmeta-virus]	96.85(%id)	99.2(%cover)
	YP_009143400-Entry-and-Fusion-IMV-protein-[Raccoonpox-virus]	92.97(%id)	100.0(%cover)
	YP_009282785-entry-and-fusion-imv-protein-[Skunkpox-virus]	90.63(%id)	100.0(%cover)
MPXV-UK_P2-083	L1R	083-virion-protein	Virion morph (Cop-J1R); L1R; similar to Vaccinia virus strain Copenhagen J1R 
	NP_536512-L1R-[Monkeypox-virus-Zaire-96-I-16]	99.34(%id)	100.0(%cover)
	NP_619889-CPXV104-protein-[Cowpox-virus]	98.68(%id)	100.0(%cover)
	NP_570481-CMLV091-[Camelpox-virus]	99.33(%id)	98.7(%cover)
	YP_010085761-putative-J1R-protein-[Orthopoxvirus-Abatino]	99.33(%id)	98.7(%cover)
	NP_671595-EVM077-[Ectromelia-virus]	99.33(%id)	98.7(%cover)
	NP_042122-hypothetical-protein-VARVgp078-[Variola-virus]	98.01(%id)	99.3(%cover)
	YP_717403-virion-protein-[Taterapox-virus]	98.67(%id)	98.7(%cover)
	YP_232975-virion-protein-[Vaccinia-virus]	97.33(%id)	98.7(%cover)
	YP_010085549-hypothetical-protein-KM542_gp101-[Akhmeta-virus]	97.16(%id)	92.8(%cover)
	YP_009143401-Virion-protein-[Raccoonpox-virus]	90.67(%id)	98.7(%cover)
	YP_009281840-virion-morph-[Volepox-virus]	90.07(%id)	98.7(%cover)
MPXV-UK_P2-084	L2R	084-thymidine-kinase	Thymidine kinase (Cop-J2R); L2R; similar to Vaccinia virus strain Copenhagen J2R; thymidine kinase 
	NP_536513-L2R-[Monkeypox-virus-Zaire-96-I-16]	98.87(%id)	100.0(%cover)
	YP_232976-thymidine-kinase-[Vaccinia-virus]	97.18(%id)	100.0(%cover)
	NP_671596-EVM078-[Ectromelia-virus]	95.48(%id)	100.0(%cover)
	YP_717404-thymidine-kinase-[Taterapox-virus]	96.61(%id)	100.0(%cover)
	NP_619890-CPXV105-protein-[Cowpox-virus]	96.61(%id)	100.0(%cover)
	NP_042123-hypothetical-protein-VARVgp079-[Variola-virus]	96.61(%id)	100.0(%cover)
	NP_570482-CMLV092-[Camelpox-virus]	96.05(%id)	100.0(%cover)
	YP_010085762-putative-J2R-protein-[Orthopoxvirus-Abatino]	95.48(%id)	100.0(%cover)
	YP_010085550-thymidine-kinase-[Akhmeta-virus]	95.48(%id)	100.0(%cover)
MPXV-UK_P2-085	L3R	085-polyA-polymerase-small-subunit	Poly (A) polymerase small subunit (VP39) (Cop-J 3R); L3R; similar to Vaccinia virus strain Copenhagen J3R; poly-A polymerase, stimulatory subunit, simultaneously cap-specific mRNA (nucleoside-O2'-)-methyltransferase 
	NP_536514-poly(A)-polymerase-small-subunit-[Monkeypox-virus-Zaire-96-I-16]	99.70(%id)	100.0(%cover)
	NP_671597-poly(A)-polymerase-small-subunit-[Ectromelia-virus]	99.40(%id)	100.0(%cover)
	NP_619891-CPXV106-protein-[Cowpox-virus]	98.80(%id)	100.0(%cover)
	YP_010085763-putative-J3R-protein-[Orthopoxvirus-Abatino]	98.80(%id)	100.0(%cover)
	YP_232977-multifunctional-poly-A-polymerase-subunit-[Vaccinia-virus]	98.80(%id)	100.0(%cover)
	YP_717405-poly(A)-polymerase-small-subunit-[Taterapox-virus]	97.90(%id)	100.0(%cover)
	NP_570483-poly(A)-polymerase-small-subunit-[Camelpox-virus]	97.30(%id)	100.0(%cover)
	NP_042124-poly(A)-polymerase-small-subunit-[Variola-virus]	97.60(%id)	100.0(%cover)
	YP_009282788-poly-polymerase-small-subunit-[Skunkpox-virus]	95.80(%id)	100.0(%cover)
	YP_009143403-Multifunctional-poly-A-polymerase-small-subunit-protein-VP39-[Raccoonpox-virus]	95.50(%id)	100.0(%cover)
	YP_009281842-poly-polymerase-small-subunit-[Volepox-virus]	94.59(%id)	100.0(%cover)
	YP_010085551-Poly(A)-polymerase-small-subunit-[Akhmeta-virus]	98.45(%id)	97.0(%cover)
MPXV-UK_P2-086	L4R	086-RNA-polymerase	RNA polymerase subunit (RPO22) (Cop-J4R); L4R; similar to Vaccinia virus strain Copenhagen J4R; RNA polymerase, 22 kDa subunit 
	YP_232978-DNA-dependent-RNA-polymerase-subunit-rpo22-[Vaccinia-virus]	100.00(%id)	100.0(%cover)
	NP_619892-CPXV107-protein-[Cowpox-virus]	100.00(%id)	100.0(%cover)
	NP_536515-L4R-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_010085552-RNA-polymerase-subunit-[Akhmeta-virus]	99.46(%id)	100.0(%cover)
	NP_671598-EVM080-[Ectromelia-virus]	99.46(%id)	100.0(%cover)
	YP_010085764-putative-J4R-protein-[Orthopoxvirus-Abatino]	98.92(%id)	100.0(%cover)
	NP_570484-CMLV094-[Camelpox-virus]	98.92(%id)	100.0(%cover)
	NP_042125-hypothetical-protein-VARVgp081-[Variola-virus]	97.84(%id)	100.0(%cover)
	YP_009143404-RNA-polymerase-subunit-RPO22-protein-[Raccoonpox-virus]	94.05(%id)	100.0(%cover)
	YP_009281843-RNA-polymerase-[Volepox-virus]	91.89(%id)	100.0(%cover)
	YP_009282789-RNA-polymerase-[Skunkpox-virus]	91.89(%id)	100.0(%cover)
MPXV-UK_P2-087	L5L	087-hypothetical-protein-VARVgp082	IMV membrane protein (Cop-J5L); L5L; similar to Vaccinia virus strain Copenhagen J5L; essential for virus multiplication 
	NP_042126-hypothetical-protein-VARVgp082-[Variola-virus]	99.25(%id)	100.0(%cover)
	NP_536516-L5L-[Monkeypox-virus-Zaire-96-I-16]	99.25(%id)	100.0(%cover)
	YP_010085765-putative-J5L-protein-[Orthopoxvirus-Abatino]	99.25(%id)	100.0(%cover)
	NP_671599-EVM081-[Ectromelia-virus]	98.50(%id)	100.0(%cover)
	NP_619893-CPXV108-protein-[Cowpox-virus]	98.50(%id)	100.0(%cover)
	YP_717406-16kDa-putative-membrane-protein-[Taterapox-virus]	98.50(%id)	100.0(%cover)
	YP_232979-late-16kDa-putative-membrane-protein-[Vaccinia-virus]	97.74(%id)	100.0(%cover)
	NP_570485-CMLV095-[Camelpox-virus]	96.99(%id)	100.0(%cover)
	YP_010085553-membrane-protein-[Akhmeta-virus]	96.24(%id)	100.0(%cover)
	YP_009282790-putative-late-16kDa-membrane-protein-[Skunkpox-virus]	92.48(%id)	100.0(%cover)
MPXV-UK_P2-088	L6R	088-DNA-dependent-RNA-polymerase-subunit-rpo147	RNA polymerase subunit (RPO147) (Cop-J6R); L6R; similar to Vaccinia virus strain Copenhagen J6R; RNA polymerase, 147 kDa subunit 
	YP_232980-DNA-dependent-RNA-polymerase-subunit-rpo147-[Vaccinia-virus]	99.07(%id)	100.0(%cover)
	NP_570486-CMLV096-[Camelpox-virus]	98.99(%id)	100.0(%cover)
	YP_717407-DNA-dependent-RNA-polymerase-subunit-rpo147-[Taterapox-virus]	99.07(%id)	100.0(%cover)
	YP_010085766-putative-J6R-protein-[Orthopoxvirus-Abatino]	98.99(%id)	100.0(%cover)
	NP_619894-CPXV109-protein-[Cowpox-virus]	98.83(%id)	100.0(%cover)
	NP_042127-hypothetical-protein-VARVgp083-[Variola-virus]	98.91(%id)	100.0(%cover)
	NP_536517-L6R-[Monkeypox-virus-Zaire-96-I-16]	99.22(%id)	100.0(%cover)
	NP_671600-EVM082-[Ectromelia-virus]	98.76(%id)	100.0(%cover)
	YP_010085554-RNA-polymerase-subunit-[Akhmeta-virus]	98.44(%id)	100.0(%cover)
	YP_009143406-RNA-polymerase-subunit-RPO147-protein-[Raccoonpox-virus]	96.35(%id)	100.0(%cover)
	YP_009281845-RNA-polymerase-[Volepox-virus]	96.03(%id)	100.0(%cover)
	YP_009282791-RNA-polymerase-[Skunkpox-virus]	96.11(%id)	100.0(%cover)
